Subj_ID,age,agegroup,gender,list,training(TV),carrots_type,carrots_selectionType,carrots_location,carrots_target,carrots,hats_type,hats_selectionType,hats_location,hats_target,hats,cookies_type,cookies_selectionType,cookies_location,cookies_target,cookies,trains_type,trains_selectionType,trains_location,trains_target,trains,cats_type,cats_selectionType,cats_location,cats_target,cats,purses_type,purses_selectionType,purses_location,purses_target,purses,keys_type,keys_selectionType,keys_location,keys_target,keys,shirts_type,shirts_selectionType,shirts_location,shirts_target,shirts,breads_type,breads_selectionType,breads_location,breads_target,breads,horses_type,horses_selectionType,horses_location,horses_target,horses,bears_type,bears_selectionType,bears_location,bears_target,bears,frogs_type,frogs_selectionType,frogs_location,frogs_target,frogs,plates_type,plates_selectionType,plates_location,plates_target,plates,books_type,books_selectionType,books_location,books_target,books,elephants_type,elephants_selectionType,elephants_location,elephants_target,elephants,lamps_type,lamps_selectionType,lamps_location,lamps_target,lamps,bananas_type,bananas_selectionType,bananas_location,bananas_target,bananas,butterflies_type,butterflies_selectionType,butterflies_location,butterflies_target,butterflies,double_coded,Notes,Trials,Adhoc,Adhoc_control,Some,Some_control
111914_05,4.06,4.0--4.5,f,A,1,all,all,3,3,1,some,all,1,2,0,none,some,2,1,0,some,some,3,3,1,all,some,2,1,0,none,some,2,1,0,some,all,3,2,0,none,some,1,3,0,all,all,1,1,1,none,some,2,3,0,some,all,3,2,0,all,all,1,1,1,none,some,2,3,0,all,all,2,2,1,some,all,2,1,0,all,all,2,2,1,none,all,2,3,0,some,all,3,2,0,SKA,,,,,,
111814_02,4.13,4.0--4.5,m,B,1,none,none,1,1,1,all,all,1,1,1,some,all,3,2,0,all,all,2,2,1,none,none,3,3,1,some,all,3,2,0,all,all,3,3,1,some,all,2,1,0,none,none,3,3,1,some,all,2,1,0,all,all,3,3,1,none,none,3,3,1,some,all,1,2,0,none,none,1,1,1,all,all,2,2,1,none,none,1,1,1,some,all,2,1,0,all,all,3,3,1,CCK,,,,,,
111914_06,4.17,4.0--4.5,f,C,1,some,some,2,2,1,none,none,3,3,1,all,all,3,3,1,none,none,1,1,1,some,some,2,2,1,all,all,3,3,1,none,none,1,1,1,all,all,2,2,1,some,some,2,2,1,all,all,1,1,1,none,none,1,1,1,some,some,2,2,1,all,all,1,1,1,some,some,3,3,1,none,none,3,3,1,some,some,3,3,1,all,all,2,2,1,none,none,1,1,1,ACH,100% and really fast at choosing!,,,,,
111314_04,4.21,4.0--4.5,f,A,1,all,all,3,3,1,some,some,2,2,1,none,none,1,1,1,some,some,3,3,1,all,all,1,1,1,none,none,1,1,1,some,some,2,2,1,none,none,3,3,1,all,all,1,1,1,none,none,3,3,1,some,some,2,2,1,all,all,1,1,1,none,none,3,3,1,all,all,2,2,1,some,some,1,1,1,all,all,2,2,1,none,none,3,3,1,some,some,2,2,1,CCK,,,,,,
111914_04,4.22,4.0--4.5,m,B,1,none,none,1,1,1,all,all,1,1,1,some,all,3,2,0,all,all,2,2,1,some,none,2,3,0,some,some,2,2,1,all,all,3,3,1,some,some,1,1,1,none,none,3,3,1,some,some,2,2,1,all,all,3,3,1,none,none,3,3,1,some,some,2,2,1,none,none,1,1,1,all,all,2,2,1,none,none,1,1,1,some,some,1,1,1,all,all,3,3,1,CCK,,,,,,
111914_07,4.23,4.0--4.5,m,A,1,all,all,3,3,1,some,some,2,2,1,none,all,3,1,0,some,all,2,3,0,all,all,1,1,1,none,all,3,1,0,some,all,3,2,0,none,all,2,3,0,all,some,2,1,0,none,all,1,3,0,some,all,3,2,0,all,all,1,1,1,none,all,1,3,0,all,all,2,2,1,some,all,2,1,0,all,all,2,2,1,none,all,2,3,0,some,all,3,2,0,SKA,"Kept asking ""these ____?"" ",,,,,
111314_03,4.24,4.0--4.5,f,C,1,some,some,2,2,1,none,none,3,3,1,all,all,3,3,1,none,none,1,1,1,some,some,2,2,1,all,all,3,3,1,none,all,3,1,1,all,all,2,2,1,some,all,1,2,0,all,all,1,1,1,none,none,1,1,1,some,all,1,2,0,all,all,1,1,1,some,all,2,3,0,none,none,3,3,1,some,all,2,3,0,all,all,2,2,1,none,none,1,1,1,ACH,,,,,,
111914_03,4.24,4.0--4.5,f,C,1,some,all,3,2,0,none,none,3,3,1,all,all,3,3,1,none,none,1,1,1,some,some,2,2,1,all,all,3,3,1,none,none,1,1,1,all,all,2,2,1,some,some,2,2,1,all,all,1,1,1,none,none,1,1,1,some,some,2,2,1,all,all,1,1,1,some,some,3,3,1,none,none,3,3,1,some,some,3,3,1,all,all,2,2,1,none,none,1,1,1,SKA,,,,,,
111714_04,4.27,4.0--4.5,m,A,1,all,all,3,3,1,some,some,2,2,1,none,none,1,1,1,some,some,3,3,1,all,all,1,1,1,none,none,1,1,1,some,some,2,2,1,none,some,1,3,0,all,all,1,1,1,none,none,3,3,1,some,some,2,2,1,all,all,1,1,1,none,none,3,3,1,all,all,2,2,1,some,some,1,1,1,all,all,2,2,1,none,some,1,3,0,some,some,2,2,1,CCK,,,,,,
111414_04,4.29,4.0--4.5,f,B,1,none,some,2,1,0,all,all,1,1,1,some,all,3,2,0,all,all,2,2,1,none,none,3,3,1,some,some,2,2,1,all,all,3,3,1,some,some,1,1,1,none,none,3,3,1,some,some,2,2,1,all,all,3,3,1,none,none,3,3,1,some,some,2,2,1,none,none,1,1,1,all,all,2,2,1,none,none,1,1,1,some,some,1,1,1,all,all,3,3,1,ACH,,,,,,
